product_id,qty,amount,invoice_date,city,stock_code,unit_price,avg_price,cost_price,list_price,discount_pct,margin_pct,salesperson,invoice_delay,price_gap,price_gap_pct,expected_margin,margin_gap,rule_high_discount,rule_underpricing,rule_margin_collapse,rule_high_delay,rule_based_leak,revenue_leak,ml_pred,iso_anomaly,predicted_price,price_deviation_model,price_anomaly,sales_cluster,risk_score,risk_flag
133,9,14.57,1982-10-09,West Alexander,36239634,1.62,17.16,12.87,21.45,92.45,-87.42,Salesperson_07,0,-15.54,-0.9055944055944055,0.25000000000000006,87.67,1,1,1,0,1,1,1.0,0.0,1.6209073000150498,0.0009073000150496835,0.0,0,0.4,1
155,5,65.48,2012-03-10,Andreamouth,2820163,13.1,15.41,11.55,19.26,31.99,13.34,Salesperson_20,7,-2.3100000000000005,-0.14990266060999355,0.2504866969500324,-13.089513303049968,1,0,0,0,1,1,1.0,0.0,13.102109580842745,0.0021095808427453733,0.0,0,0.4,1
151,9,24.66,,Coxbury,27006726,2.74,13.51,10.13,16.89,83.77,-72.96,Salesperson_15,4,-10.77,-0.7971872686898593,0.2501850481125092,73.2101850481125,1,1,1,0,1,1,1.0,0.0,2.7261581664292724,0.013841833570727768,0.0,1,0.4,1
143,4,21.34,,Ninaland,83036521,5.34,15.28,11.46,19.1,72.07,-53.44,Salesperson_11,2,-9.94,-0.650523560209424,0.24999999999999992,53.69,1,1,1,0,1,1,1.0,0.0,5.312340897278132,0.027659102721868223,0.0,2,0.4,1
168,2,83.9,1996-11-06,Isaiahview,80142652,41.95,15.87,11.9,19.84,111.49,252.48,Salesperson_08,0,26.080000000000005,1.6433522369250162,0.2501575299306868,-252.22984247006931,1,0,0,0,1,1,1.0,0.0,41.98136875455783,0.03136875455782473,0.0,0,0.4,1
192,6,55.67,2016-01-09,Millsside,53234087,9.28,12.37,9.28,15.47,40.01,-0.01,Salesperson_07,0,-3.09,-0.2497978981406629,0.2497978981406629,0.2597978981406629,1,1,1,0,1,1,1.0,0.0,9.308764261258975,0.02876426125897602,0.0,0,0.4,1
153,4,77.57,,Port Susan,30928602,19.39,13.85,10.39,17.32,11.98,86.64,Salesperson_19,0,5.540000000000001,0.4000000000000001,0.2498194945848375,-86.39018050541516,1,0,0,0,1,1,1.0,0.0,19.403207214664928,0.013207214664927136,0.0,0,0.4,1
107,3,86.5,,New Heatherfort,45734816,28.83,14.9,11.17,18.62,54.86,158.1,Salesperson_11,5,13.929999999999998,0.9348993288590602,0.2503355704697987,-157.8496644295302,1,0,0,0,1,1,1.0,0.0,28.823175296407815,0.0068247035921835675,0.0,2,0.4,1
149,1,53.73,1997-01-11,South Kim,13834685,53.73,16.71,12.53,20.88,157.27,328.78,Salesperson_11,3,37.019999999999996,2.2154398563734286,0.2501496110113705,-328.5298503889886,1,0,0,0,1,1,1.0,0.0,53.70542876825263,0.024571231747366085,0.0,2,0.4,1
108,5,91.71,,West Patricia,92548268,18.34,15.47,11.6,19.34,5.16,58.07,Salesperson_04,9,2.869999999999999,0.18552036199095018,0.25016160310277963,-57.81983839689722,1,0,0,0,1,1,1.0,0.0,18.34017597417353,0.00017597417352988032,0.0,0,0.4,1
104,5,13.0,1992-12-12,Williamsborough,63931341,2.6,16.54,12.4,20.67,87.42,-79.04,Salesperson_08,0,-13.94,-0.8428053204353083,0.25030229746070126,79.29030229746071,1,1,1,0,1,1,1.0,0.0,2.563754753823031,0.036245246176969115,1.0,0,0.7,1
173,1,10.71,2020-07-01,New Christianfurt,6666309,10.71,15.18,11.39,18.98,43.57,-5.96,Salesperson_03,6,-4.469999999999999,-0.29446640316205525,0.24967061923583658,6.209670619235837,1,1,1,0,1,1,1.0,0.0,10.709134845271205,0.0008651547287961137,0.0,1,0.4,1
132,7,26.25,,Franklinburgh,99504946,3.75,16.57,12.42,20.71,81.89,-69.82,Salesperson_02,1,-12.82,-0.7736873868436934,0.2504526252263126,70.07045262522631,1,1,1,0,1,1,1.0,0.0,3.7393994899375493,0.010600510062450663,0.0,2,0.4,1
